            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2451575.500000000, A.D. 2000-Feb-01 00:00:00.0000,  2.006552904962215E+08,  6.623844510011542E+07, -3.544892482184824E+06, -6.666668003101827E+00,  2.507617026751707E+01,  6.891915076787463E-01,
2451576.500000000, A.D. 2000-Feb-02 00:00:00.0000,  2.000687771917050E+08,  6.840151500197455E+07, -3.485161473219916E+06, -6.909834294947744E+00,  2.499448028405952E+01,  6.934573130828383E-01,
2451577.500000000, A.D. 2000-Feb-03 00:00:00.0000,  1.994613051339909E+08,  7.055742037290893E+07, -3.425065380430847E+06, -7.151819911775589E+00,  2.491032797604400E+01,  6.976425055970363E-01,
2451578.500000000, A.D. 2000-Feb-04 00:00:00.0000,  1.988329774839720E+08,  7.270594933558153E+07, -3.364611178697135E+06, -7.392598265054608E+00,  2.482373343363250E+01,  7.017468456863956E-01,
2451579.500000000, A.D. 2000-Feb-05 00:00:00.0000,  1.981838996815221E+08,  7.484689176130559E+07, -3.303805862394076E+06, -7.632143178225056E+00,  2.473471706210452E+01,  7.057701169007444E-01,
2451580.500000000, A.D. 2000-Feb-06 00:00:00.0000,  1.975141794108063E+08,  7.698003929549225E+07, -3.242656443986293E+06, -7.870428885205285E+00,  2.464329956237297E+01,  7.097121229106698E-01,
2451581.500000000, A.D. 2000-Feb-07 00:00:00.0000,  1.968239265652365E+08,  7.910518538242735E+07, -3.181169952571414E+06, -8.107430029949105E+00,  2.454950190411501E+01,  7.135726848948920E-01,
2451582.500000000, A.D. 2000-Feb-08 00:00:00.0000,  1.961132532122931E+08,  8.122212528940970E+07, -3.119353432478268E+06, -8.343121665249489E+00,  2.445334530737558E+01,  7.173516392589789E-01,
2451583.500000000, A.D. 2000-Feb-09 00:00:00.0000,  1.953822735583136E+08,  8.333065613009617E+07, -3.057213941974834E+06, -8.577479245812658E+00,  2.435485124746397E+01,  7.210488336562122E-01,
2451584.500000000, A.D. 2000-Feb-10 00:00:00.0000,  1.946311039130939E+08,  8.543057688698474E+07, -2.994758552005000E+06, -8.810478624578598E+00,  2.425404147062310E+01,  7.246641248741099E-01,
2451585.500000000, A.D. 2000-Feb-11 00:00:00.0000,  1.938598626541120E+08,  8.752168843316703E+07, -2.931994344845098E+06, -9.042096060741279E+00,  2.415093799173798E+01,  7.281973815838541E-01,
2451586.500000000, A.D. 2000-Feb-12 00:00:00.0000,  1.930686701904320E+08,  8.960379355348559E+07, -2.868928412697397E+06, -9.272308234529364E+00,  2.404556307306872E+01,  7.316484898079310E-01,
2451587.500000000, A.D. 2000-Feb-13 00:00:00.0000,  1.922576489264989E+08,  9.167669696503313E+07, -2.805567856326655E+06, -9.501092260927122E+00,  2.393793920498474E+01,  7.350173582834785E-01,
2451588.500000000, A.D. 2000-Feb-14 00:00:00.0000,  1.914269232258738E+08,  9.374020533676465E+07, -2.741919783774469E+06, -9.728425693615083E+00,  2.382808909448259E+01,  7.383039194103365E-01,
2451589.500000000, A.D. 2000-Feb-15 00:00:00.0000,  1.905766193747814E+08,  9.579412730813545E+07, -2.677991309079651E+06, -9.954286513661733E+00,  2.371603565225720E+01,  7.415081224655378E-01,
2451590.500000000, A.D. 2000-Feb-16 00:00:00.0000,  1.897068655454056E+08,  9.783827350693130E+07, -2.613789550952937E+06, -1.017865311156771E+01,  2.360180197963456E+01,  7.446299234638154E-01,
2451591.500000000, A.D. 2000-Feb-17 00:00:00.0000,  1.888177917590776E+08,  9.987245656649441E+07, -2.549321631457791E+06, -1.040150428348657E+01,  2.348541136750036E+01,  7.476692828144351E-01,
2451592.500000000, A.D. 2000-Feb-18 00:00:00.0000,  1.879095298495091E+08,  1.018964911422946E+08, -2.484594674766928E+06, -1.062281924741187E+01,  2.336688730250670E+01,  7.506261735614270E-01,
2451593.500000000, A.D. 2000-Feb-19 00:00:00.0000,  1.869822134260372E+08,  1.039101939276049E+08, -2.419615805976026E+06, -1.084257765784183E+01,  2.324625346558805E+01,  7.535005887050339E-01,
2451594.500000000, A.D. 2000-Feb-20 00:00:00.0000,  1.860359778367375E+08,  1.059133836682083E+08, -2.354392149888247E+06, -1.106075960618898E+01,  2.312353371716167E+01,  7.562925408308718E-01,
2451595.500000000, A.D. 2000-Feb-21 00:00:00.0000,  1.850709601313971E+08,  1.079058811763198E+08, -2.288930829737701E+06, -1.127734561696584E+01,  2.299875207205941E+01,  7.590020592814124E-01,
2451596.500000000, A.D. 2000-Feb-22 00:00:00.0000,  1.840872990245372E+08,  1.098875093438696E+08, -2.223238965929404E+06, -1.149231664695549E+01,  2.287193267456485E+01,  7.616291891518827E-01,
2451597.500000000, A.D. 2000-Feb-23 00:00:00.0000,  1.830851348586805E+08,  1.118580931550580E+08, -2.157323674890168E+06, -1.170565407892304E+01,  2.274309978861948E+01,  7.641739885251670E-01,
2451598.500000000, A.D. 2000-Feb-24 00:00:00.0000,  1.820646095678296E+08,  1.138174596980476E+08, -2.091192068013348E+06, -1.191733970769999E+01,  2.261227780829417E+01,  7.666365227482181E-01,
2451599.500000000, A.D. 2000-Feb-25 00:00:00.0000,  1.810258666409565E+08,  1.157654381758851E+08, -2.024851250583686E+06, -1.212735573436965E+01,  2.247949126871255E+01,  7.690168625368194E-01,
2451600.500000000, A.D. 2000-Feb-26 00:00:00.0000,  1.799690510854298E+08,  1.177018599168562E+08, -1.958308320629627E+06, -1.233568477580328E+01,  2.234476483662828E+01,  7.713150888284623E-01,
2451601.500000000, A.D. 2000-Feb-27 00:00:00.0000,  1.788943093905470E+08,  1.196265583843264E+08, -1.891570367779158E+06, -1.254230987863792E+01,  2.220812329047401E+01,  7.735312998270141E-01,
2451602.500000000, A.D. 2000-Feb-28 00:00:00.0000,  1.778017894913185E+08,  1.215393691858942E+08, -1.824644472200170E+06, -1.274721452668377E+01,  2.206959150730228E+01,  7.756656150211327E-01,
2451603.500000000, A.D. 2000-Feb-29 00:00:00.0000,  1.766916407323993E+08,  1.234401300816862E+08, -1.757537703589998E+06, -1.295038263440153E+01,  2.192919445315382E+01,  7.777181725590596E-01,
2451604.500000000, A.D. 2000-Mar-01 00:00:00.0000,  1.755640138320520E+08,  1.253286809918830E+08, -1.690257120130606E+06, -1.315179852914033E+01,  2.178695716779598E+01,  7.796891204998451E-01,
